key,name,system,energy_TeV,centrality,observable,x,xlow,xhigh,y,stat_minus,stat_plus,sys_minus,sys_plus,source_row,table_doi
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,4.75,4.5,5.0,0.13143,0.0011214,0.0011214,0.0044587,0.0044587,42,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,5.25,5.0,5.5,0.12155,0.0013212,0.0013212,0.0041428,0.0041428,43,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,5.75,5.5,6.0,0.11556,0.0015713,0.0015713,0.0039448,0.0039448,44,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,6.25,6.0,6.5,0.11892,0.0018264,0.0018264,0.004567,0.004567,45,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,6.75,6.5,7.0,0.11926,0.002217,0.002217,0.0043767,0.0043767,46,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,7.5,7.0,8.0,0.12403,0.0021619,0.0021619,0.0049429,0.0049429,47,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,8.5,8.0,9.0,0.13471,0.0032344,0.0032344,0.0051597,0.0051597,48,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,9.5,9.0,10.0,0.14879,0.0046695,0.0046695,0.0057,0.0057,49,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,10.5,10.0,11.0,0.16224,0.0066539,0.0066539,0.0067477,0.0067477,50,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,11.5,11.0,12.0,0.16943,0.0086561,0.0086561,0.0070454,0.0070454,51,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,12.5,12.0,13.0,0.18751,0.011744,0.011744,0.0078089,0.0078089,52,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,13.5,13.0,14.0,0.19707,0.015735,0.015735,0.0082649,0.0082649,53,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,14.5,14.0,15.0,0.19992,0.018453,0.018453,0.0083761,0.0083761,54,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,15.5,15.0,16.0,0.22931,0.026741,0.026741,0.0096073,0.0096073,55,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,17.0,16.0,18.0,0.22958,0.022408,0.022408,0.009654,0.009654,56,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,19.0,18.0,20.0,0.24191,0.036591,0.036591,0.010135,0.010135,57,10.17182/hepdata.104923.v1/t15
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,0.225,0.2,0.25,0.16313,0.0011337,0.0011337,0.01189,0.01189,0,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,0.275,0.25,0.3,0.17091,0.00068512,0.00068512,0.0099378,0.0099378,1,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,0.32499999999999996,0.3,0.35,0.1797,0.00066142,0.00066142,0.0078652,0.0078652,2,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,0.375,0.35,0.4,0.1904,0.00089488,0.00089488,0.010043,0.010043,3,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,0.42500000000000004,0.4,0.45,0.20632,0.00094386,0.00094386,0.01102,0.01102,4,10.17182/hepdata.104923.v1/t16
